Пол,Возраст,Путешествует с детьми,Путешествует по работе,Тип,Расстояние,Покупка билета онлайн,Питание включено,Наличие wifi,Оценка комфортности места,Оценка качества уборки,Оценка качества обслуживания в пути,Удовлетворён предоставленной услугой,Оценка комфортности покупки билета онлайн,Оценка качества питания,Оценка качества wifi,Оценка комфортности времени отправления/прибытия,Общая оценка качества предоставленной услуги
муж,56,да,нет,плацкарт,410,1,1,1,3,4,3,1,плохо,нормально,плохо,нормально,нормально
жен,45,нет,да,св,587,1,1,1,3,3,3,0,плохо,хорошо,плохо,плохо,плохо
муж,37,нет,нет,плацкарт,2622,1,1,0,1,2,4,1,плохо,плохо,отсутствует,хорошо,нормально
жен,52,да,да,купе,1541,1,0,1,5,4,3,1,плохо,отсутствует,нормально,плохо,хорошо
муж,61,нет,нет,плацкарт,797,1,0,1,5,5,3,1,хорошо,отсутствует,хорошо,нормально,хорошо
муж,57,нет,нет,купе,661,0,1,0,1,1,4,1,отсутствует,плохо,отсутствует,хорошо,нормально
муж,32,нет,нет,плацкарт,2623,1,1,0,4,4,3,1,плохо,нормально,отсутствует,плохо,нормально
муж,62,да,нет,купе,686,1,1,0,3,4,2,1,плохо,нормально,отсутствует,плохо,нормально
жен,65,нет,нет,купе,796,1,1,0,4,4,5,1,плохо,хорошо,отсутствует,хорошо,нормально
муж,38,нет,да,купе,776,1,1,1,5,5,2,1,нормально,хорошо,хорошо,нормально,хорошо
муж,59,нет,нет,плацкарт,704,1,1,1,1,1,4,1,нормально,плохо,плохо,хорошо,нормально
жен,31,нет,нет,купе,233,1,1,0,1,1,3,1,плохо,плохо,отсутствует,нормально,нормально
муж,54,нет,да,плацкарт,195,1,0,1,5,5,3,1,нормально,отсутствует,хорошо,нормально,хорошо
жен,51,нет,нет,св,2325,1,1,0,4,3,2,1,плохо,хорошо,отсутствует,нормально,нормально
муж,27,нет,да,плацкарт,898,1,1,0,2,2,3,0,плохо,плохо,отсутствует,плохо,плохо
муж,23,нет,да,плацкарт,434,1,0,1,4,4,4,1,нормально,отсутствует,плохо,плохо,нормально
жен,69,нет,да,плацкарт,407,1,1,0,2,4,2,0,плохо,плохо,отсутствует,плохо,плохо
жен,49,нет,нет,плацкарт,264,0,1,0,4,2,2,1,отсутствует,нормально,отсутствует,нормально,нормально
жен,40,нет,да,купе,1295,1,0,0,2,2,2,0,плохо,отсутствует,отсутствует,плохо,плохо
муж,48,нет,да,плацкарт,285,1,1,1,3,3,2,1,нормально,нормально,плохо,нормально,нормально
муж,24,нет,да,купе,1489,1,1,0,3,2,2,1,нормально,плохо,отсутствует,нормально,нормально
жен,25,нет,да,св,716,1,0,1,1,1,4,1,хорошо,отсутствует,хорошо,нормально,хорошо
муж,33,нет,нет,плацкарт,371,1,0,1,3,3,4,1,нормально,отсутствует,плохо,нормально,нормально
жен,22,нет,да,плацкарт,1340,1,0,0,3,3,5,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,59,да,нет,плацкарт,157,1,1,1,4,4,3,1,нормально,нормально,плохо,хорошо,нормально
муж,50,нет,нет,плацкарт,2533,1,1,1,3,1,4,1,нормально,плохо,плохо,хорошо,нормально
муж,18,нет,нет,купе,358,1,1,0,5,5,3,1,плохо,хорошо,отсутствует,нормально,нормально
муж,46,нет,да,плацкарт,962,1,0,1,4,4,5,1,плохо,отсутствует,нормально,плохо,хорошо
муж,54,да,нет,плацкарт,988,1,0,1,1,1,2,0,нормально,отсутствует,плохо,нормально,плохо
жен,54,нет,нет,купе,1144,1,0,1,4,1,3,1,нормально,отсутствует,нормально,плохо,хорошо
муж,22,нет,нет,св,668,1,1,1,2,2,4,1,нормально,плохо,плохо,хорошо,нормально
муж,70,нет,нет,плацкарт,2512,1,1,1,1,1,2,1,нормально,плохо,нормально,нормально,нормально
муж,32,да,нет,купе,251,1,1,0,1,1,4,0,плохо,плохо,отсутствует,нормально,плохо
муж,60,нет,да,плацкарт,973,1,0,0,2,2,3,1,хорошо,отсутствует,отсутствует,нормально,нормально
жен,50,нет,нет,плацкарт,600,1,0,1,2,4,5,1,нормально,отсутствует,плохо,хорошо,нормально
жен,56,да,нет,плацкарт,1123,1,1,0,1,1,4,1,плохо,плохо,отсутствует,нормально,нормально
муж,19,нет,да,плацкарт,920,1,1,0,3,1,4,1,плохо,плохо,отсутствует,плохо,нормально
муж,22,нет,нет,плацкарт,925,1,1,0,1,3,4,1,плохо,нормально,отсутствует,хорошо,нормально
жен,26,нет,нет,плацкарт,2897,1,0,1,1,1,4,1,нормально,отсутствует,нормально,нормально,хорошо
жен,56,нет,нет,плацкарт,505,1,1,1,5,5,3,1,нормально,нормально,плохо,хорошо,нормально
муж,19,нет,да,плацкарт,1390,1,0,1,3,3,4,1,хорошо,отсутствует,нормально,хорошо,нормально
жен,39,да,нет,купе,1042,1,0,0,1,1,4,0,плохо,отсутствует,отсутствует,хорошо,плохо
муж,28,нет,да,плацкарт,2366,1,1,1,4,4,3,1,хорошо,нормально,нормально,нормально,хорошо
муж,38,нет,нет,плацкарт,683,1,0,1,4,4,3,1,нормально,отсутствует,плохо,хорошо,нормально
муж,38,нет,да,купе,379,1,1,0,2,2,2,1,хорошо,плохо,отсутствует,хорошо,нормально
муж,20,нет,нет,плацкарт,388,1,1,1,3,3,4,1,нормально,нормально,нормально,нормально,нормально
муж,35,нет,нет,плацкарт,1175,1,0,0,5,5,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,46,да,нет,плацкарт,454,1,1,0,3,3,2,1,плохо,нормально,отсутствует,нормально,нормально
жен,30,да,нет,плацкарт,839,1,0,0,5,2,3,1,плохо,отсутствует,отсутствует,хорошо,нормально
муж,61,да,нет,плацкарт,4539,1,1,1,2,2,2,0,нормально,нормально,плохо,плохо,плохо
жен,36,да,да,св,1775,1,0,0,2,2,4,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,43,да,нет,плацкарт,636,1,1,0,4,4,2,1,плохо,нормально,отсутствует,плохо,нормально
жен,48,да,да,св,909,1,1,0,1,1,3,0,нормально,плохо,отсутствует,нормально,плохо
муж,45,да,нет,плацкарт,688,1,1,0,3,3,3,1,плохо,нормально,отсутствует,плохо,нормально
муж,44,нет,да,плацкарт,274,1,1,1,4,4,2,1,нормально,нормально,плохо,плохо,нормально
муж,24,да,нет,плацкарт,443,1,1,1,1,4,4,1,нормально,нормально,нормально,нормально,нормально
жен,59,нет,нет,плацкарт,726,1,1,0,4,3,2,1,плохо,нормально,отсутствует,хорошо,нормально
жен,44,нет,нет,купе,207,0,1,1,4,4,3,1,отсутствует,плохо,плохо,хорошо,нормально
муж,26,нет,нет,св,493,1,1,0,3,3,3,1,плохо,нормально,отсутствует,нормально,нормально
жен,41,нет,да,св,284,0,1,0,4,4,2,1,отсутствует,хорошо,отсутствует,плохо,хорошо
жен,46,нет,нет,плацкарт,851,1,1,0,3,3,1,1,плохо,плохо,отсутствует,плохо,нормально
муж,51,нет,нет,купе,1881,1,0,0,2,1,4,0,плохо,отсутствует,отсутствует,плохо,плохо
муж,41,нет,да,плацкарт,166,1,1,1,1,1,4,1,хорошо,плохо,хорошо,хорошо,хорошо
муж,28,нет,да,купе,618,1,1,0,1,1,3,0,плохо,плохо,отсутствует,плохо,плохо
жен,42,нет,нет,плацкарт,1034,1,0,0,4,4,4,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,52,нет,нет,плацкарт,233,1,1,1,5,5,4,1,нормально,нормально,плохо,хорошо,нормально
жен,41,нет,нет,плацкарт,565,1,1,0,3,3,3,1,плохо,нормально,отсутствует,хорошо,нормально
муж,61,нет,нет,плацкарт,164,1,1,1,4,2,3,1,нормально,плохо,нормально,нормально,нормально
муж,43,нет,нет,плацкарт,905,1,1,1,2,2,2,0,нормально,плохо,плохо,плохо,плохо
муж,29,нет,да,плацкарт,738,1,0,1,4,5,2,1,нормально,отсутствует,плохо,нормально,нормально
жен,26,нет,да,плацкарт,849,1,0,0,1,1,2,0,плохо,отсутствует,отсутствует,плохо,плохо
жен,37,нет,нет,плацкарт,382,1,1,1,4,4,2,1,нормально,нормально,плохо,нормально,нормально
жен,29,нет,да,плацкарт,1071,1,0,0,3,2,3,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,38,нет,да,купе,544,1,1,1,1,1,4,1,нормально,плохо,нормально,нормально,нормально
жен,34,нет,нет,купе,906,1,1,1,5,5,2,1,хорошо,хорошо,хорошо,нормально,хорошо
жен,45,нет,да,св,1383,1,1,0,4,2,2,1,плохо,хорошо,отсутствует,плохо,нормально
жен,45,нет,да,купе,571,1,0,0,4,2,1,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,31,да,да,купе,1653,1,1,0,4,4,3,1,плохо,нормально,отсутствует,плохо,нормально
жен,54,да,да,св,1477,1,0,0,1,1,3,1,нормально,отсутствует,отсутствует,нормально,нормально
муж,61,нет,нет,плацкарт,570,1,1,1,4,4,4,1,нормально,нормально,плохо,хорошо,нормально
муж,56,да,нет,плацкарт,639,1,1,1,2,2,4,0,нормально,плохо,плохо,хорошо,плохо
жен,35,да,да,плацкарт,1336,1,0,0,3,3,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,57,да,нет,плацкарт,665,1,1,1,2,2,3,1,нормально,плохо,плохо,хорошо,нормально
муж,48,нет,нет,плацкарт,901,1,0,0,4,4,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,25,нет,нет,плацкарт,229,1,1,1,5,5,4,1,нормально,хорошо,плохо,хорошо,нормально
жен,19,нет,да,плацкарт,559,0,0,0,3,3,4,1,отсутствует,отсутствует,отсутствует,нормально,хорошо
муж,51,нет,нет,плацкарт,974,0,1,0,3,3,2,1,отсутствует,нормально,отсутствует,нормально,хорошо
муж,32,да,нет,купе,566,1,0,0,1,1,4,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,44,да,да,плацкарт,333,1,0,0,1,1,2,1,нормально,отсутствует,отсутствует,нормально,нормально
жен,44,нет,да,плацкарт,249,1,1,1,4,4,4,1,нормально,нормально,плохо,плохо,нормально
муж,57,нет,нет,плацкарт,641,1,1,1,3,3,4,1,нормально,нормально,нормально,нормально,нормально
жен,30,нет,нет,купе,812,1,1,0,5,5,3,1,плохо,хорошо,отсутствует,плохо,нормально
муж,29,нет,нет,купе,450,1,0,1,1,1,3,1,нормально,отсутствует,нормально,хорошо,нормально
жен,51,нет,да,плацкарт,1036,1,1,1,1,2,5,1,плохо,нормально,хорошо,плохо,хорошо
жен,37,да,нет,купе,2255,1,1,1,4,4,2,1,нормально,нормально,плохо,плохо,нормально
жен,61,нет,нет,плацкарт,711,1,0,0,4,5,2,1,плохо,отсутствует,отсутствует,нормально,хорошо
жен,33,нет,да,купе,642,1,1,0,2,2,2,0,нормально,плохо,отсутствует,нормально,плохо
жен,39,да,нет,плацкарт,317,1,0,1,3,3,4,1,нормально,отсутствует,плохо,хорошо,нормально
муж,37,нет,нет,плацкарт,370,1,1,1,3,3,4,1,нормально,нормально,плохо,хорошо,нормально
жен,38,нет,да,плацкарт,449,1,0,1,4,4,2,1,плохо,отсутствует,нормально,плохо,хорошо
муж,67,нет,нет,плацкарт,1295,1,1,1,3,3,5,1,нормально,нормально,плохо,нормально,нормально
жен,30,нет,нет,плацкарт,726,1,0,1,1,1,3,1,нормально,отсутствует,нормально,хорошо,хорошо
муж,63,да,да,плацкарт,788,1,0,0,1,1,2,0,плохо,отсутствует,отсутствует,плохо,плохо
жен,33,нет,нет,плацкарт,626,1,0,0,2,2,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,26,нет,нет,плацкарт,1029,1,0,1,5,5,5,1,нормально,отсутствует,плохо,хорошо,нормально
жен,19,нет,нет,плацкарт,1203,1,1,1,3,3,4,1,нормально,нормально,плохо,хорошо,нормально
муж,32,нет,да,купе,342,1,0,1,5,5,3,1,хорошо,отсутствует,хорошо,плохо,хорошо
жен,18,нет,нет,плацкарт,785,1,1,1,3,3,4,1,нормально,нормально,плохо,хорошо,нормально
муж,39,нет,да,плацкарт,521,1,1,0,1,1,3,0,плохо,плохо,отсутствует,плохо,плохо
муж,32,нет,да,плацкарт,1888,1,0,0,1,1,3,1,хорошо,отсутствует,отсутствует,хорошо,нормально
жен,47,нет,нет,плацкарт,1654,1,0,0,3,1,4,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,58,нет,да,купе,267,1,1,1,4,3,3,1,плохо,нормально,нормально,плохо,нормально
муж,36,нет,да,плацкарт,227,1,1,1,3,3,2,1,плохо,нормально,плохо,плохо,хорошо
муж,58,нет,нет,плацкарт,1002,1,1,0,1,1,4,1,плохо,плохо,отсутствует,нормально,нормально
жен,66,нет,нет,плацкарт,436,1,0,1,3,2,3,1,нормально,отсутствует,плохо,нормально,нормально
жен,59,нет,да,плацкарт,1072,1,0,1,4,5,3,1,плохо,отсутствует,нормально,плохо,хорошо
жен,52,нет,нет,купе,489,1,1,0,1,5,4,1,плохо,нормально,отсутствует,хорошо,нормально
жен,73,нет,да,купе,371,1,1,0,3,4,2,1,плохо,плохо,отсутствует,плохо,нормально
жен,61,нет,нет,плацкарт,2491,1,1,1,1,1,3,1,нормально,нормально,плохо,хорошо,нормально
жен,28,нет,да,плацкарт,763,1,0,0,5,5,3,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,55,да,нет,плацкарт,657,1,0,0,4,4,2,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,41,да,нет,плацкарт,427,1,1,1,3,2,3,0,нормально,плохо,плохо,плохо,плохо
жен,27,да,да,купе,683,1,1,0,5,2,2,0,плохо,плохо,отсутствует,плохо,плохо
жен,31,нет,нет,плацкарт,1220,1,0,1,3,3,5,1,нормально,отсутствует,плохо,нормально,нормально
муж,66,нет,нет,плацкарт,553,1,1,1,5,2,2,1,хорошо,плохо,хорошо,плохо,хорошо
муж,36,нет,да,плацкарт,1042,1,1,1,4,4,2,1,нормально,нормально,плохо,нормально,нормально
жен,53,нет,да,купе,227,1,1,1,3,4,4,1,плохо,плохо,хорошо,плохо,хорошо
муж,21,нет,нет,плацкарт,883,1,0,0,5,4,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,54,нет,нет,плацкарт,444,0,1,0,4,5,3,1,отсутствует,хорошо,отсутствует,нормально,хорошо
муж,24,нет,да,плацкарт,405,0,0,0,4,4,4,1,отсутствует,отсутствует,отсутствует,нормально,хорошо
муж,60,да,нет,плацкарт,973,1,0,0,5,5,3,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,24,нет,нет,купе,987,1,1,0,4,5,3,1,плохо,хорошо,отсутствует,плохо,нормально
жен,31,нет,да,плацкарт,1993,1,0,0,3,3,2,0,плохо,отсутствует,отсутствует,плохо,плохо
жен,22,нет,нет,плацкарт,711,1,0,0,3,3,2,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,48,нет,нет,купе,962,1,1,0,5,3,4,1,плохо,хорошо,отсутствует,нормально,нормально
жен,53,да,нет,купе,237,1,1,1,4,5,3,1,нормально,хорошо,плохо,нормально,нормально
жен,23,нет,нет,плацкарт,1047,0,1,0,1,1,4,1,отсутствует,плохо,отсутствует,хорошо,хорошо
жен,20,нет,нет,плацкарт,1133,1,1,1,3,3,4,1,нормально,нормально,нормально,нормально,нормально
муж,25,нет,нет,св,544,1,0,0,3,3,2,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,44,нет,да,плацкарт,193,1,1,0,2,2,2,1,хорошо,плохо,отсутствует,хорошо,хорошо
муж,56,нет,да,плацкарт,241,1,1,1,2,2,2,0,нормально,плохо,плохо,плохо,плохо
муж,38,нет,да,плацкарт,325,1,1,0,2,2,2,0,плохо,плохо,отсутствует,плохо,плохо
жен,41,нет,да,плацкарт,396,1,1,1,3,3,2,1,хорошо,нормально,плохо,хорошо,нормально
жен,37,да,нет,плацкарт,631,1,1,1,5,5,4,1,нормально,хорошо,плохо,хорошо,нормально
жен,55,нет,да,купе,1624,1,1,0,2,2,3,0,плохо,плохо,отсутствует,плохо,плохо
муж,57,нет,да,плацкарт,458,1,1,1,5,5,3,1,нормально,хорошо,хорошо,нормально,хорошо
жен,39,да,нет,плацкарт,294,1,1,1,1,3,2,1,нормально,нормально,плохо,нормально,нормально
жен,54,да,нет,купе,1236,1,0,0,3,3,3,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,25,нет,да,купе,848,1,0,0,4,5,2,1,плохо,отсутствует,отсутствует,хорошо,нормально
жен,24,нет,нет,плацкарт,911,1,1,1,1,4,4,1,нормально,нормально,плохо,плохо,нормально
жен,36,нет,да,купе,357,1,1,1,3,3,3,1,плохо,нормально,плохо,плохо,нормально
муж,50,нет,нет,плацкарт,267,1,1,0,2,2,4,1,плохо,плохо,отсутствует,нормально,нормально
жен,60,да,нет,св,1139,1,0,0,1,1,3,0,плохо,отсутствует,отсутствует,нормально,плохо
жен,27,нет,нет,плацкарт,104,1,0,1,4,4,5,1,хорошо,отсутствует,хорошо,нормально,хорошо
жен,49,да,нет,плацкарт,1059,1,1,1,4,4,3,1,нормально,нормально,плохо,плохо,нормально
муж,28,нет,да,плацкарт,883,1,0,0,1,2,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,50,да,нет,плацкарт,2112,1,0,1,3,3,3,1,нормально,отсутствует,плохо,нормально,нормально
муж,39,нет,нет,плацкарт,425,1,1,1,1,1,2,0,нормально,плохо,нормально,нормально,плохо
муж,51,да,нет,плацкарт,2109,1,1,0,4,4,4,1,плохо,нормально,отсутствует,нормально,нормально
жен,23,нет,нет,плацкарт,987,1,0,0,5,5,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,29,да,да,плацкарт,857,1,1,1,2,2,3,1,нормально,нормально,нормально,нормально,нормально
жен,35,нет,да,плацкарт,624,1,1,1,4,4,2,1,нормально,нормально,нормально,нормально,хорошо
муж,64,да,да,плацкарт,544,1,0,1,3,3,4,1,нормально,отсутствует,нормально,плохо,нормально
жен,19,нет,нет,плацкарт,277,1,1,0,2,2,5,0,плохо,плохо,отсутствует,нормально,плохо
муж,55,нет,да,плацкарт,1098,1,1,1,3,3,2,1,плохо,нормально,плохо,плохо,нормально
жен,59,нет,да,плацкарт,963,1,1,1,4,4,5,1,плохо,плохо,нормально,плохо,нормально
жен,46,нет,нет,купе,436,1,0,0,5,3,4,1,нормально,отсутствует,отсутствует,нормально,нормально
жен,41,нет,нет,плацкарт,227,1,1,1,2,2,4,1,нормально,плохо,нормально,хорошо,нормально
муж,39,нет,да,плацкарт,276,1,1,1,5,5,2,1,нормально,хорошо,плохо,хорошо,нормально
жен,52,да,нет,плацкарт,516,1,1,1,4,4,2,1,нормально,нормально,плохо,нормально,нормально
муж,31,нет,нет,плацкарт,2578,1,1,1,3,3,2,1,нормально,нормально,плохо,плохо,нормально
жен,37,да,нет,плацкарт,484,1,0,0,2,2,2,1,плохо,отсутствует,отсутствует,нормально,нормально
жен,26,нет,да,купе,991,1,1,0,1,2,3,1,нормально,плохо,отсутствует,нормально,нормально
жен,27,нет,нет,купе,1624,1,1,1,1,1,2,0,нормально,плохо,плохо,плохо,плохо
муж,37,нет,нет,плацкарт,583,1,1,0,3,3,4,1,плохо,нормально,отсутствует,плохо,нормально
муж,51,нет,да,плацкарт,658,1,0,1,4,4,2,1,плохо,отсутствует,нормально,плохо,нормально
жен,37,нет,да,плацкарт,729,1,1,0,1,1,3,0,плохо,плохо,отсутствует,плохо,плохо
муж,27,нет,да,плацкарт,197,1,0,1,5,5,3,1,нормально,отсутствует,хорошо,нормально,хорошо
муж,34,нет,нет,плацкарт,436,1,0,0,2,2,2,0,плохо,отсутствует,отсутствует,плохо,плохо
муж,47,нет,да,плацкарт,464,1,1,1,4,4,3,1,нормально,нормально,нормально,нормально,хорошо
жен,22,нет,да,плацкарт,1158,1,1,1,3,3,3,1,хорошо,нормально,хорошо,хорошо,хорошо
муж,32,нет,нет,св,636,1,0,0,3,3,4,1,плохо,отсутствует,отсутствует,нормально,нормально
муж,37,да,да,св,799,1,0,0,1,1,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,25,нет,да,плацкарт,434,1,1,0,1,1,3,1,нормально,плохо,отсутствует,плохо,нормально
жен,22,нет,нет,плацкарт,563,1,0,1,3,3,4,1,нормально,отсутствует,плохо,хорошо,нормально
жен,45,да,нет,плацкарт,606,1,1,0,1,1,3,0,плохо,плохо,отсутствует,нормально,плохо
муж,24,нет,да,плацкарт,1296,1,1,0,5,5,4,1,плохо,хорошо,отсутствует,плохо,нормально
муж,25,нет,да,плацкарт,814,1,0,1,3,3,2,1,нормально,отсутствует,плохо,нормально,нормально
жен,24,нет,да,плацкарт,374,1,1,1,1,1,4,0,нормально,плохо,нормально,плохо,плохо
муж,68,нет,нет,плацкарт,1158,1,1,1,3,3,4,1,хорошо,нормально,хорошо,нормально,хорошо
жен,41,нет,нет,плацкарт,624,1,1,1,2,2,3,1,нормально,плохо,нормально,нормально,нормально
жен,45,нет,нет,плацкарт,2623,1,1,0,4,3,1,1,плохо,нормально,отсутствует,плохо,нормально
муж,45,нет,нет,купе,1225,1,0,1,2,2,3,1,нормально,отсутствует,нормально,плохо,нормально
муж,39,нет,да,плацкарт,212,1,0,1,4,4,2,1,плохо,отсутствует,нормально,хорошо,хорошо
жен,53,нет,нет,купе,1158,1,1,1,5,3,3,1,нормально,нормально,плохо,хорошо,нормально
муж,45,нет,нет,плацкарт,663,1,0,0,2,2,3,1,плохо,отсутствует,отсутствует,хорошо,нормально
муж,59,нет,нет,купе,1036,1,0,1,4,4,3,1,нормально,отсутствует,плохо,нормально,нормально
муж,60,нет,да,купе,407,1,1,1,3,3,1,1,хорошо,нормально,плохо,хорошо,нормально
муж,65,да,да,купе,407,1,1,1,4,3,3,1,нормально,нормально,плохо,нормально,нормально
жен,43,да,нет,плацкарт,1109,1,1,1,5,5,4,1,нормально,хорошо,плохо,хорошо,нормально
муж,43,да,да,св,821,0,0,0,4,4,3,1,отсутствует,отсутствует,отсутствует,плохо,хорошо
жен,40,да,да,св,2099,0,1,0,5,2,2,1,отсутствует,плохо,отсутствует,плохо,нормально
жен,31,нет,да,плацкарт,1791,1,1,0,2,2,4,0,плохо,плохо,отсутствует,плохо,плохо
жен,32,нет,да,купе,890,1,0,1,2,2,5,0,нормально,отсутствует,плохо,нормально,плохо
муж,65,нет,нет,плацкарт,758,1,0,1,1,1,3,1,нормально,отсутствует,нормально,нормально,нормально
муж,47,нет,нет,плацкарт,379,1,0,0,3,3,5,1,нормально,отсутствует,отсутствует,нормально,нормально
муж,47,нет,нет,плацкарт,2648,1,0,1,1,1,2,1,нормально,отсутствует,плохо,нормально,нормально
жен,53,нет,нет,плацкарт,517,1,0,1,4,1,3,1,нормально,отсутствует,плохо,нормально,нормально
жен,43,нет,нет,св,1409,1,1,1,3,4,3,1,нормально,плохо,плохо,нормально,нормально
муж,51,нет,нет,плацкарт,229,1,1,1,2,2,3,1,нормально,плохо,плохо,нормально,нормально
муж,25,нет,да,купе,1252,1,1,1,3,4,3,1,нормально,нормально,нормально,нормально,хорошо
муж,39,нет,да,св,2677,1,1,0,3,3,3,1,плохо,плохо,отсутствует,плохо,нормально
муж,42,да,да,плацкарт,600,1,0,1,2,2,3,1,нормально,отсутствует,плохо,плохо,нормально
жен,25,нет,нет,плацкарт,1015,1,1,1,5,5,5,1,нормально,хорошо,нормально,хорошо,нормально
муж,54,нет,да,св,1784,1,1,1,5,5,4,1,нормально,нормально,плохо,плохо,хорошо
жен,42,нет,нет,плацкарт,1788,1,1,0,2,4,4,0,плохо,нормально,отсутствует,плохо,плохо
муж,32,нет,нет,плацкарт,875,1,0,1,2,2,5,1,нормально,отсутствует,нормально,хорошо,нормально
жен,54,нет,нет,плацкарт,875,1,1,0,4,5,2,1,плохо,плохо,отсутствует,нормально,нормально
жен,48,нет,да,купе,1765,1,1,0,3,1,2,1,хорошо,хорошо,отсутствует,хорошо,нормально
муж,34,нет,да,плацкарт,484,1,0,0,1,1,3,1,плохо,отсутствует,отсутствует,плохо,нормально
муж,44,нет,нет,плацкарт,711,1,1,0,3,4,4,1,плохо,нормально,отсутствует,хорошо,нормально
жен,45,нет,да,св,2936,1,1,1,4,5,5,1,хорошо,плохо,плохо,нормально,хорошо
жен,23,нет,да,плацкарт,881,1,1,1,2,2,2,1,нормально,плохо,нормально,нормально,хорошо
жен,40,да,нет,плацкарт,638,1,0,1,5,2,4,1,нормально,отсутствует,нормально,хорошо,нормально
муж,35,да,да,св,883,1,0,1,4,4,2,1,хорошо,отсутствует,хорошо,хорошо,хорошо
жен,59,нет,нет,купе,446,1,0,1,4,4,3,1,плохо,отсутствует,хорошо,нормально,хорошо
муж,21,нет,нет,плацкарт,631,1,0,1,2,2,3,1,хорошо,отсутствует,хорошо,нормально,хорошо
жен,34,нет,нет,плацкарт,1061,1,1,1,5,5,3,1,нормально,хорошо,плохо,нормально,нормально
жен,52,да,нет,плацкарт,345,1,0,0,4,3,3,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,65,нет,нет,плацкарт,506,1,1,1,3,1,4,1,нормально,нормально,плохо,нормально,нормально
жен,28,нет,да,купе,932,1,1,1,1,2,3,1,нормально,плохо,нормально,нормально,нормально
жен,37,нет,нет,плацкарт,199,1,1,0,5,4,4,1,плохо,нормально,отсутствует,нормально,нормально
жен,38,нет,да,плацкарт,266,1,1,1,5,5,4,1,плохо,хорошо,хорошо,плохо,хорошо
жен,21,нет,да,плацкарт,2176,1,0,0,2,2,3,0,плохо,отсутствует,отсутствует,плохо,плохо
муж,33,нет,нет,плацкарт,1274,1,1,0,2,2,5,1,плохо,плохо,отсутствует,нормально,нормально
жен,44,нет,да,плацкарт,488,1,1,1,4,3,4,1,хорошо,нормально,хорошо,хорошо,хорошо
муж,30,нет,да,купе,2439,1,1,0,1,1,2,0,плохо,плохо,отсутствует,плохо,плохо
жен,39,да,нет,плацкарт,409,1,1,1,2,2,3,1,нормально,плохо,нормально,плохо,нормально
муж,68,нет,нет,плацкарт,1776,1,1,0,2,2,5,0,плохо,плохо,отсутствует,хорошо,плохо
муж,23,нет,нет,св,631,1,0,1,1,1,3,1,хорошо,отсутствует,хорошо,нормально,хорошо
жен,22,нет,да,плацкарт,1001,1,1,0,4,3,4,1,плохо,нормально,отсутствует,плохо,нормально
жен,39,нет,да,плацкарт,303,1,0,1,3,3,3,1,плохо,отсутствует,плохо,плохо,хорошо
муж,48,да,нет,плацкарт,162,0,0,0,1,1,2,0,отсутствует,отсутствует,отсутствует,нормально,плохо
муж,42,нет,да,плацкарт,950,1,1,1,4,4,2,1,плохо,нормально,нормально,плохо,хорошо
жен,54,нет,нет,купе,146,1,1,1,4,5,1,1,нормально,плохо,плохо,хорошо,нормально
муж,70,нет,нет,плацкарт,454,1,1,0,2,2,2,0,плохо,плохо,отсутствует,нормально,плохо
жен,20,нет,да,плацкарт,520,1,1,1,2,5,5,1,нормально,хорошо,плохо,плохо,нормально
жен,20,нет,нет,св,456,0,1,0,2,2,4,1,отсутствует,плохо,отсутствует,нормально,хорошо
муж,47,нет,да,купе,382,1,0,0,1,1,2,0,плохо,отсутствует,отсутствует,плохо,плохо
муж,63,нет,нет,купе,1093,1,0,0,5,5,4,1,плохо,отсутствует,отсутствует,хорошо,нормально
жен,62,нет,нет,купе,1501,1,0,1,5,3,2,1,нормально,отсутствует,плохо,хорошо,нормально
муж,22,нет,да,плацкарт,276,1,1,1,2,2,3,0,нормально,плохо,плохо,плохо,плохо
жен,34,нет,нет,плацкарт,532,1,0,0,4,3,5,1,плохо,отсутствует,отсутствует,хорошо,нормально
муж,48,нет,да,плацкарт,850,1,0,0,4,4,2,1,плохо,отсутствует,отсутствует,плохо,нормально
жен,40,нет,нет,плацкарт,1164,1,0,1,2,2,4,1,нормально,отсутствует,нормально,нормально,нормально
